lp_no,extent_ac,POINT_ID,EASTING-X,NORTHING-Y,LATITUDE,LONGITUDE,Before Period Start,Before Period End,After Period Start,After Period End,Vegetation (NDVI)-Before Value,Vegetation (NDVI)-After Value,Vegetation (NDVI)-Difference,Vegetation (NDVI)-Interpretation,Vegetation (NDVI)-Significance,Built-up Area (NDBI)-Before Value,Built-up Area (NDBI)-After Value,Built-up Area (NDBI)-Difference,Built-up Area (NDBI)-Interpretation,Built-up Area (NDBI)-Significance,Water/Moisture (NDWI)-Before Value,Water/Moisture (NDWI)-After Value,Water/Moisture (NDWI)-Difference,Water/Moisture (NDWI)-Interpretation,Water/Moisture (NDWI)-Significance
2.0,206.49,1.0,340751.55,1590485.86,14.382015,79.523023,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,90.3365,98.4816,8.1450,Vegetation growth or improvement,Yes,1.8204,17.6122,15.7918,Construction or development increase,Yes,0.0121,0.0051,-0.0070,No significant water change,No
2.0,206.49,2.0,340869.12,1590228.96,14.3797,79.524128,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,79.6944,84.4434,4.7490,Vegetation growth or improvement,Yes,1.3613,13.7650,12.4037,Construction or development increase,Yes,0.0121,0.0691,0.0570,No significant water change,No
2.0,206.49,3.0,341040.17,1589791.59,14.375757,79.52574,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,100.4323,80.2228,-20.2096,Vegetation loss or degradation,Yes,0.9415,14.4533,13.5118,Construction or development increase,Yes,0.0004,0.1604,0.1600,Water increase or flooding,Yes
2.0,206.49,4.0,341109.18,1589488.36,14.37302,79.526398,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,125.7675,83.5130,-42.2545,Vegetation loss or degradation,Yes,0.8975,17.8728,16.9753,Construction or development increase,Yes,0.0000,0.1779,0.1779,Water increase or flooding,Yes
2.0,206.49,5.0,341165.05,1589261.82,14.370975,79.52693,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,138.3195,89.1831,-49.1365,Vegetation loss or degradation,Yes,0.7666,18.9927,18.2261,Construction or development increase,Yes,0.0000,0.0444,0.0444,No significant water change,No
2.0,206.49,6.0,341195.71,1588931.27,14.367989,79.527234,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,141.5452,100.2147,-41.3305,Vegetation loss or degradation,Yes,0.6199,22.3310,21.7111,Construction or development increase,Yes,0.0000,0.0006,0.0006,No significant water change,No
2.0,206.49,7.0,341135.87,1588905.35,14.367752,79.52668,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,143.0269,97.6787,-45.3482,Vegetation loss or degradation,Yes,0.6011,22.1125,21.5114,Construction or development increase,Yes,0.0000,0.0009,0.0009,No significant water change,No
2.0,206.49,8.0,341117.27,1588879.77,14.367519,79.526509,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,142.7000,96.7756,-45.9244,Vegetation loss or degradation,Yes,0.5847,22.1689,21.5842,Construction or development increase,Yes,0.0000,0.0012,0.0012,No significant water change,No
2.0,206.49,9.0,341008.75,1588930.93,14.367975,79.5255,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,143.4760,91.8030,-51.6731,Vegetation loss or degradation,Yes,0.9730,21.5161,20.5431,Construction or development increase,Yes,0.0000,0.0017,0.0017,No significant water change,No
2.0,206.49,10.0,340900.23,1588982.09,14.368432,79.524491,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,142.1787,89.0996,-53.0791,Vegetation loss or degradation,Yes,1.6746,20.8850,19.2103,Construction or development increase,Yes,0.0000,0.0017,0.0017,No significant water change,No
2.0,206.49,11.0,340803.33,1589010.77,14.368685,79.523591,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,140.7502,87.4588,-53.2914,Vegetation loss or degradation,Yes,1.8876,20.5183,18.6308,Construction or development increase,Yes,0.0000,0.0017,0.0017,No significant water change,No
2.0,206.49,12.0,340712.85,1589038.35,14.368929,79.52275,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,138.6362,86.6374,-51.9988,Vegetation loss or degradation,Yes,2.0289,19.4437,17.4148,Construction or development increase,Yes,0.0000,0.0017,0.0017,No significant water change,No
2.0,206.49,13.0,340666.04,1589167.07,14.37009,79.522308,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,133.6779,81.6596,-52.0183,Vegetation loss or degradation,Yes,2.3879,17.8593,15.4715,Construction or development increase,Yes,0.0000,0.0016,0.0016,No significant water change,No
2.0,206.49,14.0,340562.26,1589764.99,14.375488,79.521311,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,93.2915,77.8113,-15.4802,Vegetation loss or degradation,Yes,3.4518,15.5017,12.0500,Construction or development increase,Yes,0.0000,0.0059,0.0059,No significant water change,No
2.0,206.49,15.0,340294.52,1590408.29,14.381288,79.51879,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,105.9716,83.4243,-22.5473,Vegetation loss or degradation,Yes,4.3863,21.3225,16.9361,Construction or development increase,Yes,0.0000,0.0053,0.0053,No significant water change,No
2.0,206.49,16.0,340386.0,1590815.22,14.384971,79.519614,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,112.0211,110.4412,-1.5799,Vegetation loss or degradation,Yes,1.3995,20.1230,18.7235,Construction or development increase,Yes,0.0000,0.0000,0.0000,No significant water change,No
2.0,206.49,17.0,340393.17,1590810.7,14.38493,79.519681,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,112.4152,110.5837,-1.8315,Vegetation loss or degradation,Yes,1.3338,19.9996,18.6658,Construction or development increase,Yes,0.0000,0.0000,0.0000,No significant water change,No
2.0,206.49,18.0,340395.02,1590809.49,14.38492,79.519698,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,112.0665,110.5282,-1.5382,Vegetation loss or degradation,Yes,1.3754,19.9682,18.5928,Construction or development increase,Yes,0.0000,0.0000,0.0000,No significant water change,No
2.0,206.49,19.0,340396.87,1590808.17,14.384908,79.519715,01-NOV-2022,31-JAN-2023,01-JAN-2025,31-MAR-2025,111.9380,110.5561,-1.3819,Vegetation loss or degradation,Yes,1.3369,19.8393,18.5023,Construction or development increase,Yes,0.0000,0.0000,0.0000,No significant water change,No
